id,street,city,state,postal_code,country
f3e197aa-e8b4-44f9-aae4-b2876115dc39,9023 Williams Points,South Angelashire,New Jersey,39487,Mayotte
dc89ed01-6ffd-414a-a289-a79148b3b4c1,173 Jennifer Neck Suite 025,South Pamela,Indiana,95860,Comoros
5487cd95-911b-4966-98b5-9f41352d1cee,5879 Reilly Meadow Suite 367,North Joshuabury,Kentucky,06913,Haiti
ee3ea53c-7da5-4589-9e28-8386af14c3b4,22930 Rose Island Apt. 131,West Amandatown,Rhode Island,61244,Isle of Man
740fcccf-7c78-43b0-b241-e3329aa76ef6,07429 Blake Drive Suite 848,West Amberside,North Dakota,82296,Bulgaria
ce1c2c62-2a84-4f9a-9631-2cda1bbe3655,692 Christian Estates Apt. 990,Miguelview,Mississippi,33000,Niue
a26694fe-2d4b-4f29-b7d1-faf50a917bc8,775 Williamson Spur Apt. 801,Miguelshire,Arizona,31514,Equatorial Guinea
716b8ec4-1fa4-4777-83cd-469302f8985d,35118 Michael Extension Apt. 154,East Kimberlyhaven,Oklahoma,34142,Aruba
24ea055b-203d-4c00-8f0d-53de39427e6b,5701 Bruce Extension,Beardtown,Illinois,40015,France
78c18356-3271-4f94-b50f-26cb23f231b0,23853 Renee Mountain Apt. 510,Lynchmouth,Virginia,90787,Canada
bee0db67-b196-4f51-b3c5-024c0ed2b9fa,4338 Erickson Vista,New Chase,Connecticut,32118,Turkmenistan
2a98779b-9916-4b4d-a147-8ac07d71badf,3538 Devon Court,Garciaside,Mississippi,92789,Kuwait
19aebf2b-b2a4-4269-81e5-7b53068d240d,707 Christopher Harbor Suite 801,Gloverland,Colorado,46417,Gambia
9df0bac1-e657-4f54-b6ab-688ecd748916,86308 Espinoza Bypass Apt. 951,New Dawn,Arizona,74068,French Guiana
67781bb2-5702-4a98-9972-e6d1ad40cb80,522 Adrian Burgs Apt. 898,Port Dawn,Ohio,15608,Zambia
9556ba93-b62b-4f2f-aa6c-54d701b6d77b,33437 Tommy Estate,New Elizabethborough,Oregon,56810,Macao
a80d4036-95c0-4e98-be9c-7629ddd9954b,7712 Kristin Mount Suite 300,New Kristina,North Dakota,85742,El Salvador
be180c11-2357-45b2-943f-179a2429de80,10100 Christian Dam Apt. 126,Davidshire,Kentucky,39679,Canada
f8ea51d6-4c54-4600-90ff-b10628badb0b,3400 Jeffery Canyon,West Nicholas,Wisconsin,63838,Paraguay
2ca6d912-82f1-4d02-9c16-55567e9f25da,60224 Newman Skyway Suite 585,Traciefort,Florida,46141,Congo
31150e48-30fc-4781-80e7-3c07c87afafd,55513 Velez Walk,Adamsport,Connecticut,85360,Guyana
175033a5-b7a9-4263-a5aa-1974cd6a2df6,44700 Brooke Hills Apt. 190,Michaelchester,Oregon,54982,Georgia
cb2f9891-3be6-4abd-b278-ef91d0428edc,49603 Christina Wells Apt. 523,Kaylaton,New Jersey,18090,Guyana
7f2fd39c-7a67-4dfc-a13a-2f3ce4b75a6c,9633 Shannon Loaf,East Cynthia,New Mexico,71347,Christmas Island
10705d88-675c-4ae2-9876-a0f7345d858f,733 Dunn Radial Suite 505,South Jonathanchester,Nebraska,19186,Romania
515dbc6e-590b-4f53-909c-b4e4bacb3f3c,4249 Paul Plain Suite 847,Gloverburgh,Idaho,40091,Andorra
b2b097fb-107c-409b-a26b-33ca61de29ab,83308 Brandon Squares,Mayomouth,New Jersey,78873,British Virgin Islands
6b505f82-6d63-4bae-b4cd-552d9f1861c4,518 Yoder Rapid Apt. 820,West Terriborough,Connecticut,76550,Vanuatu
cb2cb8ad-75f6-4083-ae2f-37dc6bf19609,5143 Barry Rapid Suite 299,South Jeff,Alaska,52345,Yemen
9bb8a269-36d3-4d68-b02d-cb08000313aa,7171 Martinez Park Apt. 157,Jaclynland,Nebraska,21177,Albania
1caa4f3d-bde4-4dea-974a-481dfae9440f,08444 Brandi Branch,Ebonychester,Texas,35447,Cote d'Ivoire
79f6124b-7486-4728-81ad-861fcedfb643,04772 Thomas Alley,Stanleymouth,Nebraska,14929,Liechtenstein
d951af57-c85e-4e5a-be9d-c49d1b51eda8,2675 Davis Port,Danielshire,New Mexico,45941,Reunion
1dab234d-43ad-48ec-a9de-38bda7349147,35021 Kevin Club,Lake Staceyfort,North Dakota,84556,Saint Kitts and Nevis
71d650a4-0e38-4e94-a354-4a5372ee918d,336 Novak Green,Mannborough,Wisconsin,52010,Saint Barthelemy
cfdaafd8-f4a2-47d2-b826-3fe0caa5d686,03222 Williams Falls,South Robert,Indiana,36419,Suriname
08e32d43-206b-4512-9523-90d164a98597,34956 Cody Pines Apt. 225,Leahberg,Indiana,08005,Japan
007ff204-e62f-4b37-a9be-cb32d432119c,980 Stanley Mountains Suite 051,Lake Meganton,Maine,11972,Bulgaria
397347eb-03fb-45c3-8193-f0e86e7204c8,63253 Paula Bypass Suite 082,West Bradleyfurt,Washington,86279,Niger
