id,amount,currency,date,type,risk_score
89a2f77e-1e05-414c-b300-3e7492d82c13,11215.61,USD,2025-01-16,debit,0.91
97c85459-7176-4764-b5be-0ad804350306,17675.39,USD,2025-11-25,debit,0.47
a4f0d822-4a44-41ea-9c99-83ae0078930d,14182.33,EUR,2024-04-14,credit,0.55
dd390d0f-b4df-4083-9f8a-75f93137e101,1091.24,USD,2024-04-19,debit,0.91
de3574be-521b-431d-94ba-b4df08d2b9b3,14012.41,USD,2025-11-06,credit,0.14
cfb13123-7886-400b-9e41-4ca67182fd82,18259.59,EUR,2025-06-14,credit,0.23
af9192af-628d-4b46-9322-eb15f5e25764,3948.76,USD,2024-11-02,debit,0.89
656176c4-5f8d-41a4-bf9b-0388ad5fcb10,4879.54,USD,2025-08-24,credit,0.34
ef66f6e5-a892-4e09-833f-c62e322e9e68,6285.0,USD,2025-05-12,credit,0.15
04fe2244-62b1-486b-ac05-8d7c839c9495,12285.86,GBP,2025-11-22,debit,0.15
017f2530-2e9f-4e88-8fc1-b0ab587e3f14,9313.43,USD,2024-09-24,credit,0.57
91c0d9c0-897b-4085-be9c-29a98fdeb08d,11752.76,USD,2024-10-30,debit,0.58
70befc63-8e53-4f72-82d3-d772391ee107,11986.19,USD,2024-07-16,debit,0.76
6c0666e2-75bb-45dc-9e63-7cff2a57309b,6112.75,USD,2024-04-23,debit,0.42
a28f3419-a1c9-42bf-99d4-62de396ce2e4,13334.69,EUR,2026-02-18,credit,0.55
a3264d57-8c0b-4117-b156-5f1f1135db0d,2307.09,USD,2026-01-19,debit,0.32
aab5d83c-1205-4376-9866-371d378fe44e,4006.0,USD,2025-06-17,debit,0.05
7a5e8429-c9dd-4a31-a851-e0453f951ddf,19125.51,EUR,2024-07-11,debit,0.32
3619ae7e-aaa6-4721-a385-cda36a73804e,17933.45,USD,2025-03-17,credit,0.83
8d5475c3-329a-4fd6-8d66-4979d05f8c35,19275.5,USD,2024-12-20,credit,0.12
2a2d5e40-6104-424d-934c-ba75df3ecc9e,7643.74,USD,2024-07-21,debit,0.97
d1793d61-57b5-4077-9fb0-9651c5bdfe36,9249.96,GBP,2024-05-05,credit,0.94
f90981b3-d74f-4144-ba7d-8e4a2b1ddceb,1217.27,USD,2024-05-23,debit,0.55
ca712c96-f47d-4414-8c8f-557832f1749c,19109.63,USD,2024-10-21,debit,0.87
f13dde1a-10c2-419c-b5bc-f20c01d15d49,14149.85,USD,2025-04-08,credit,0.15
a60252ea-ea9f-4989-892f-1c5852810c43,17978.87,USD,2024-07-04,credit,0.24
10610465-0555-4167-a9fd-da9700521d5e,1496.03,GBP,2024-04-28,credit,0.17
af90c404-3992-4841-824b-907b62dbaea5,6216.76,USD,2026-02-11,debit,0.15
3892dd46-63f8-4708-a880-1e141f2f3235,1452.94,USD,2026-01-07,debit,0.57
8a6c9ea8-91f4-4760-8db0-312f7a745d47,12821.14,GBP,2024-12-07,debit,0.58
a2115d65-1cc8-43bf-98ab-ca42a9787cf0,13498.22,GBP,2024-09-06,credit,0.54
e18e8adf-a372-4716-acf0-23a0a34a2f84,6152.48,USD,2025-02-28,debit,0.79
3b0899fc-2d3a-4907-a636-774e82abe990,18760.84,USD,2025-01-15,credit,0.9
8d821053-cb92-4920-955b-8112962bc122,9934.53,USD,2025-05-06,debit,0.45
d045bc9c-67d3-4500-b840-90012225b159,10454.34,USD,2024-12-07,debit,0.23
e1726370-df9a-4d6a-9e6c-90f0184c7826,12740.23,EUR,2025-05-30,debit,0.03
7314424e-4be9-4b03-a253-b2722cf39b0f,15726.92,USD,2025-07-07,credit,0.49
e4be3f83-b02d-4f7b-9f87-97a91cfaaf7b,4765.51,USD,2025-11-12,credit,0.63
5190d17c-956c-4b0c-ae78-b4c7cb0e4cff,5906.71,GBP,2025-04-25,debit,0.82
89e0d64c-1c5f-417e-8de9-14994b3ae42c,14992.11,USD,2024-10-05,debit,0.92
64efea85-886b-4a58-b8bd-dfcd8a844291,3976.97,GBP,2024-11-14,debit,0.84
